Price,Close,High,Low,Open,Volume
Ticker,DIS,DIS,DIS,DIS,DIS
Date,,,,,
2020-01-02,143.68923950195312,143.68923950195312,140.68360295597302,140.86780750622626,9502100
2020-01-03,142.041015625,143.39839825247742,141.60471512290806,141.94405338259688,7320200
2020-01-06,141.21688842773438,141.5853272151487,139.91767715913684,141.1102358731861,8262500
2020-01-07,141.26535034179688,142.3997374708099,140.99387383883786,141.54653194480719,6906500
2020-01-08,140.9744873046875,141.68227911242076,140.41215365199864,141.06175923884197,6984200
2020-01-09,140.42184448242188,142.16706125661392,140.2085393881117,142.01192758905,6664200
2020-01-10,140.2182159423828,141.07143623594297,139.86917262177724,140.87752656768637,5152500
2020-01-13,139.50074768066406,140.34426286837228,138.99657071135883,140.34426286837228,9921300
2020-01-14,140.78057861328125,142.25431887133365,137.95914605178777,139.04506693399733,14839100
2020-01-15,139.9273681640625,141.27506042066148,139.54922431337178,141.27506042066148,6818200
2020-01-16,140.7030029296875,141.0035651462159,140.04370707334905,140.67391721804668,6948400
2020-01-17,139.9370574951172,141.20718291152215,139.62679017189998,141.1102206744267,10355300
2020-01-21,139.19049072265625,140.18913963580877,138.65722800340967,139.84980139218666,9250200
2020-01-22,139.6267852783203,140.38304335920697,139.17108940979122,140.0533954356122,7550000
2020-01-23,137.87188720703125,139.23897490067307,136.36906125408632,139.2292845944231,11082000
2020-01-24,135.81640625,137.92035648574233,134.96318595371392,137.09622190006968,13076300
2020-01-27,131.76364135742188,133.53794390179274,130.89104033956926,131.72486533646986,12831800
2020-01-28,134.158447265625,134.70140025821453,131.7248491044256,132.34536892372213,10390000
2020-01-29,131.91873168945312,134.45898186653469,131.6569455523599,134.38142985010955,9382700
2020-01-30,133.615478515625,133.6542693215836,130.726184834734,130.97826589603397,11847300
2020-01-31,134.10028076171875,134.44932409752013,132.88832678940278,134.1875378970791,12379100
2020-02-03,137.01866149902344,137.5034430387833,135.49644036288532,135.5352163765484,12639900
2020-02-04,140.3248748779297,141.158699804379,138.88992551416575,141.0617523630096,23519700
2020-02-05,137.06715393066406,142.81667178064373,134.35238862629598,142.13798045455172,27824100
2020-02-06,138.35667419433594,139.56862826890853,136.92172471246312,137.60041603535154,9504600
2020-02-07,136.727783203125,137.66826052969506,135.85516759587188,137.57129830854768,10948900
2020-02-10,138.24998474121094,138.24998474121094,136.18482560955363,136.73746882697495,8162100
2020-02-11,136.7180938720703,138.63783955281647,136.18484597733368,138.50210130417014,10790100
2020-02-12,137.5325469970703,137.89128064989893,136.5823644011213,137.03806029251143,8168200
2020-02-13,136.6114501953125,137.58101340406378,136.53389815764962,136.87323640409628,7543100
2020-02-14,135.29283142089844,136.9798765777329,134.8953217849248,136.80536231721166,9110500
2020-02-18,134.905029296875,135.40920632661891,133.8966900317482,134.78868644168833,8214900
2020-02-19,136.99928283691406,137.55192616670928,134.9922799157517,135.38011407156972,7080900
2020-02-20,136.09759521484375,137.31925443699888,134.6238696558949,137.31925443699888,5981700
2020-02-21,134.7401885986328,135.62249459259576,134.36205957184285,135.6030991876847,7725800
2020-02-24,128.9615936279297,130.3480766725049,127.21639173424688,128.8549410860393,19336500
2020-02-25,124.2883071899414,129.8632955098677,124.08469980852745,129.679076137416,21032500
2020-02-26,119.60530853271484,124.46281449714847,118.41274262582093,122.28130484773996,31195900
2020-02-27,114.44723510742188,119.15931260793936,114.3308848664435,116.1633586280692,30827500
2020-02-28,114.0691146850586,114.70902256581516,109.76425160709846,111.02468675608797,35389900
2020-03-02,116.32819366455078,116.32819366455078,112.49841466282655,115.50405904328682,21775900
2020-03-03,112.9056396484375,118.07341364443035,111.64521183780214,117.46259144831188,19529700
2020-03-04,115.55254364013672,115.61071506562719,111.96516272273996,115.33923855043136,13842100
2020-03-05,110.51081848144531,113.40011271922722,108.69773260672235,113.30315787717997,22397200
2020-03-06,111.76155853271484,112.34330243148229,106.96222314815009,107.38883336799796,22899600
2020-03-09,101.17391204833984,107.06885770721713,101.10604292451507,105.38181991701558,26233600
2020-03-10,108.0675048828125,108.18385512064425,99.31235105911756,104.80977219531955,24083700
2020-03-11,102.2986068725586,105.58542525791029,99.72926312486778,105.12003170550511,24771300
2020-03-12,89.0156021118164,96.9563277191093,88.8507781300173,94.64876978237957,40392900
2020-03-13,99.39961242675781,99.73896545227126,89.44220197639427,97.71257459077115,40960100
2020-03-16,92.11819458007812,95.2886627441592,87.2606812524798,89.00589783640123,35379500
2020-03-17,90.68323516845703,94.49361843091518,88.375677663391,92.88414753838794,27526200
2020-03-18,86.09721374511719,86.62077135524481,76.66336070488312,84.92403578231769,43592500
2020-03-19,92.0406265258789,94.4354485962714,82.51951706111593,85.32155386326001,30866800
2020-03-20,83.36305236816406,94.03793853717639,83.22730670632758,93.06837527696,31957800
2020-03-23,83.14973449707031,84.62346717150102,78.62186914540085,81.91838520328736,32246600
2020-03-24,95.133544921875,96.15158185506944,89.00590572452755,89.51977304278478,32538100
2020-03-25,97.66409301757812,102.69612040950584,92.602972519407,97.59622389736882,28533000
2020-03-26,102.1531753540039,104.45104271124156,97.73196970177946,97.76105541309465,24520300
2020-03-27,93.46588897705078,98.40096185133042,92.63206407772506,97.39261528942072,30591500
2020-03-30,96.76240539550781,97.402313228415,89.29676469705868,93.07806246409865,23119200
2020-03-31,93.65979766845703,100.02013688497999,93.23319491774137,97.16961889164226,21563200
2020-04-01,92.03092956542969,94.43544935753664,89.74276001069518,90.6541517104971,18303900
2020-04-02,94.0185317993164,94.29970597643415,91.33283796105533,91.33283796105533,13936500
2020-04-03,91.02257537841797,93.9700479026992,89.88818839885765,93.37861385752421,14814600
2020-04-06,96.54910278320312,97.14053691198102,91.64310808551808,94.29971651212627,20407400
2020-04-07,98.15857696533203,102.66704735547454,97.19871146200498,101.66839843622172,22899600
2020-04-08,97.9937515258789,99.2347912281702,95.64741037641066,97.4701865145035,22562500
